Megnevezés,Méret,Csatlakozás,Technológia,Tároló kapacitás (GB),SSD max írás (MB/s),SSD max olvasás (MB/s),Világítás,Hűtőborda,Ár (FT)
TRANSCEND 120GB MTS820 M.2 SATA M.2 2280 TS120GMTS820S,M.2 2280,M.2 SATA,MLC,120,510,560,Nem,Nem,8490
TRANSCEND 2TB 220S M.2 PCIe M.2 2280 TS2TMTE220S,M.2 2280,M.2 PCIe,TLC,2000,2700,3500,Nem,Nem,103190
"VERBATIM 128GB Vi550 S3 SATA 3 2.5"" 49350","2.5""",SATA 3,TLC,128,425,560,Nem,Nem,9489
APACER 256GB AS2280P4 M.2 PCIe M.2 2280 AP256GAS2280P4-1,M.2 2280,M.2 PCIe,TLC,256,1100,1800,Nem,Nem,13590
"APACER 512GB AS350 Panther SATA 3 2.5"" 95.DB2E0.P100C","2.5""",SATA 3,TLC,512,510,540,Nem,Nem,20290
KINGMAX 256GB PQ3480 M.2 PCIe M.2 2280 KMPQ3480-256G,M.2 2280,M.2 PCIe,TLC,256,1200,1950,Nem,Nem,13590
"PATRIOT 512GB P210 SATA 3 2.5"" P210S512G25","2.5""",SATA 3,TLC,512,430,520,Nem,Nem,20991
"SILICON POWER 128GB Ace A55 SATA 3 2.5"" SP128GBSS3A55S25","2.5""",SATA 3,TLC,128,450,500,Nem,Nem,8590
ADATA 1TB Gammix S50 Lite M.2 PCIe M.2 2280 AGAMMIXS50L-1T-C,M.2 2280,M.2 PCIe,TLC,1000,3200,3900,Nem,Igen,52189
CRUCIAL 250GB MX500 M.2 SATA M.2 2280 CT250MX500SSD4,M.2 2280,M.2 SATA,TLC,250,510,560,Nem,Nem,14990
INTENSO 128GB Top M.2 SATA M.2 2280 3832430,M.2 2280,M.2 SATA,MLC,128,300,520,Nem,Nem,7590
KINGSTON 500GB KC2500 M.2 PCIe M.2 2280 SKC2500M8/500G,M.2 2280,M.2 PCIe,TLC,500,2500,3500,Nem,Nem,27490
SAMSUNG 1TB 860 EVO M.2 SATA M.2 2280 MZ-N6E1T0BW (Basic garancia),M.2 2280,M.2 SATA,MLC,1000,520,550,Nem,Nem,41391
SILICON POWER 128GB A55 M.2 SATA M.2 2280 SP128GBSS3A55M28,M.2 2280,M.2 SATA,TLC,128,530,560,Nem,Nem,8790
"SILICON POWER 1TB Ace A55 SATA 3 2.5"" SP001TBSS3A55S25","2.5""",SATA 3,TLC,1000,450,500,Nem,Nem,34190
"WD 2TB Blue SATA 3 2.5"" WDS200T2B0A","2.5""",SATA 3,TLC,2000,530,560,Nem,Nem,79990
CRUCIAL 1TB P2 M.2 PCIe M.2 2280 CT1000P2SSD8,M.2 2280,M.2 PCIe,TLC,1000,1800,2400,Nem,Nem,37990
GIGABYTE 256GB Aorus RGB M.2 PCIe M.2 2280 GP-ASM2NE2256GTTDR,M.2 2280,M.2 PCIe,TLC,256,1050,3100,Igen,Igen,21690
"SANDISK 500GB Ultra SATA 3 2.5"" SDSSDH3-500G-G25","2.5""",SATA 3,MLC,500,530,560,Nem,Nem,25090
SILICON POWER 500GB UD70 M.2 PCIe M.2 2280 SP500GBP34UD7005,M.2 2280,M.2 PCIe,QLC,500,3000,3400,Nem,Nem,23790
TRANSCEND 128GB 110s M.2 PCIe M.2 2280 TS128GMTE110S,M.2 2280,M.2 PCIe,TLC,128,1500,1800,Nem,Nem,11690
CORSAIR 960GB MP510 M.2 PCIe M.2 2280 CSSD-F960GBMP510B,M.2 2280,M.2 PCIe,TLC,960,3000,3840,Nem,Nem,55890
CRUCIAL 250GB P2 M.2 PCIe M.2 2280 CT250P2SSD8,M.2 2280,M.2 PCIe,TLC,250,1150,2100,Nem,Nem,17189
CRUCIAL 500GB P2 M.2 PCIe M.2 2280 CT500P2SSD8,M.2 2280,M.2 PCIe,TLC,500,940,2300,Nem,Nem,20790
"GIGABYTE 1TB Internal SATA 3 2.5"" GP-GSTFS31100TNTD","2.5""",SATA 3,TLC,1000,500,550,Nem,Nem,37390
GIGABYTE 500GB AORUS NVMe GEN4 SSD M.2 PCIe M.2 2280,M.2 2280,M.2 PCIe,TLC,500,2500,5000,Nem,Igen,46990
GOODRAM 240GB S400u M.2 SATA M.2 2242 SSDPR-S400U-240-42,M.2 2242,M.2 SATA,TLC,240,450,550,Nem,Nem,12891
KINGSTON 250GB KC2500 M.2 PCIe M.2 2280 SKC2500M8/250G,M.2 2280,M.2 PCIe,TLC,250,1200,3500,Nem,Nem,17490
SAMSUNG 1TB 980 M.2 PCIe M.2 2280 MZ-V8V1T0BW,M.2 2280,M.2 PCIe,TLC,1000,3000,3500,Nem,Nem,51890
SAMSUNG 512GB 970 PRO M.2 PCIe M.2 2280 MZ-V7P512BW,M.2 2280,M.2 PCIe,MLC,512,2300,3500,Nem,Nem,71290
"SANDISK 480GB Plus SATA 3 2.5"" SDSSDA-480G-G26","2.5""",SATA 3,MLC,480,445,535,Nem,Nem,19190
SILICON POWER 2TB P34A80 M.2 PCIe M.2 2280 SP002TBP34A80M28,M.2 2280,M.2 PCIe,TLC,2000,3000,3200,Nem,Nem,92090
"TRANSCEND 32GB Internal PATA/IDE 2.5"" TS32GPSD330","2.5""",PATA/IDE,MLC,32,67,120,Nem,Nem,17590
TRANSCEND 64GB 230S mSATA TS64GMSA230S,mSATA,mSATA,TLC,64,200,390,Nem,Nem,10690
WD 250GB Blue M.2 SATA M.2 2280 WDS250G2B0B,M.2 2280,M.2 SATA,TLC,250,500,525,Nem,Nem,13890
"APACER 240GB AS350 Panther SATA 3 2.5"" AP240GAS350-1","2.5""",SATA 3,TLC,240,298,310,Nem,Nem,13490
CRUCIAL 250GB P5 M.2 PCIe M.2 2280 CT250P5SSD8,M.2 2280,M.2 PCIe,TLC,250,1400,3400,Nem,Nem,19190
"CRUCIAL 2TB BX500 SATA 3 2.5"" CT2000BX500SSD1","2.5""",SATA 3,TLC,2000,500,540,Nem,Nem,69590
"KINGSTON 512GB KC600 SATA 3 2.5"" SKC600B/512G","2.5""",SATA 3,TLC,512,520,550,Nem,Nem,33790
"PATRIOT 240GB Burst Elite SATA 3 2.5"" PBE240GS25SSDR","2.5""",SATA 3,TLC,240,320,450,Nem,Nem,12690
"SILICON POWER 120GB Slim S55 SATA 3 2.5"" SP120GBSS3S55S25","2.5""",SATA 3,TLC,120,350,500,Nem,Nem,8790
TRANSCEND 128GB 430S M.2 SATA M.2 2242 TS128GMTS430S,M.2 2242,M.2 SATA,TLC,128,500,560,Nem,Nem,10290
ADATA 250GB Swordfish M.2 PCIe M.2 2280 ASWORDFISH-250G-C,M.2 2280,M.2 PCIe,TLC,250,900,1800,Nem,Igen,14690
ADATA 256GB XPG Gammix S11 Pro M.2 PCIe M.2 2280 AGAMMIXS11P-256GT-C,M.2 2280,M.2 SATA,TLC,256,1200,3500,Nem,Igen,18291
ADATA 512GB SX6000 Lite M.2 PCIe M.2 2280 ASX6000LNP-512GT-C,M.2 2280,M.2 PCIe,TLC,512,1200,1800,Nem,Nem,25490
APACER 512GB AS2280P4 M.2 PCIe M.2 2280 AP512GAS2280P4-1,M.2 2280,M.2 PCIe,TLC,512,1500,2100,Nem,Nem,21490
CORSAIR 240GB Force MP510 M.2 PCIe M.2 2280 CSSD-F240GBMP510,M.2 2280,M.2 PCIe,TLC,240,1050,3100,Nem,Nem,19690
"INTENSO 120GB High SATA 3 2.5"" 3813430","2.5""",SATA 3,MLC,120,500,520,Nem,Nem,8691
"SAMSUNG 2TB 870 EVO SATA 3 2.5"" MZ-77E2T0B/EU (Basic garancia)","2.5""",SATA 3,TLC,2000,530,560,Nem,Nem,86990
"TEAM GROUP 240GB GX1 SATA 3 2.5"" T253X1240G0C101","2.5""",SATA 3,TLC,240,400,500,Nem,Nem,12090
TRANSCEND 256GB 230S mSATA TS256GMSA230S,mSATA,mSATA,TLC,256,400,530,Nem,Nem,15690
"VERBATIM 256GB Vi550 S3 SATA 3 2.5"" 49351","2.5""",SATA 3,TLC,256,540,560,Nem,Nem,14190
"ADATA 240GB Ultimate SU650 SATA 3 2.5"" ASU650SS-240GT","2.5""",SATA 3,TLC,240,450,520,Nem,Nem,12690
"ADATA 480GB Ultimate SU630 SATA 3 2.5"" ASU630SS-480GQ-R","2.5""",SATA 3,QLC,480,450,520,Nem,Nem,22290
ADATA 500GB Swordfish M.2 PCIe M.2 2280 ASWORDFISH-500G-C,M.2 2280,M.2 PCIe,TLC,500,1200,1800,Nem,Igen,24489
ADATA 512GB SX6000 Pro M.2 PCIe M.2 2280 ASX6000PNP-512GT-C,M.2 2280,M.2 PCIe,TLC,512,1500,2100,Nem,Nem,24889
APACER 240GB AS2280P2 PRO M.2 PCIe M.2 2280 AP240GAS2280P2PRO-1,M.2 2280,M.2 PCIe,TLC,240,880,1580,Igen,Nem,20190
CORSAIR 1TB MP400 M.2 PCIe M.2 2280 CSSD-F1000GBMP400,M.2 2280,M.2 PCIe,QLC,1000,1880,3480,Nem,Nem,49091
CRUCIAL 1TB P5 M.2 PCIe M.2 2280 CT1000P5SSD8,M.2 2280,M.2 PCIe,TLC,1000,3000,3400,Nem,Nem,52589
"GOODRAM 480GB CL100 Gen.3 SATA 3 2.5"" SSDPR-CL100-480-G3","2.5""",SATA 3,TLC,480,460,540,Nem,Nem,20890
INTENSO 512GB Top M.2 SATA M.2 2280 3832450,M.2 2280,M.2 SATA,MLC,512,490,520,Nem,Nem,18090
KINGMAX 128GB SA 3080 M.2 SATA M.2 2280 KM128SA3080,M.2 2280,M.2 SATA,TLC,128,350,500,Nem,Nem,8490
KINGSTON 1TB KC2500 M.2 PCIe M.2 2280 SKC2500M8/1000G,M.2 2280,M.2 PCIe,TLC,1000,2900,3500,Nem,Nem,46791
KINGSTON 1TB NV1 M.2 PCIe M.2 2280 SNVS/1000G,M.2 2280,M.2 PCIe,TLC,1000,1700,2100,Nem,Nem,36690
"PATRIOT 480GB Burst SATA 3 2.5"" PBU480GS25SSDR","2.5""",SATA 3,TLC,480,455,560,Nem,Nem,23590
PATRIOT 512GB P300 M.2 PCIe M.2 2280 P300P512GM28,M.2 2280,M.2 PCIe,TLC,512,1200,1700,Nem,Nem,21890
SAMSUNG 250GB 980 M.2 PCIe M.2 2280 MZ-V8V250BW,M.2 2280,M.2 PCIe,TLC,250,1300,2900,Nem,Nem,19290
SAMSUNG 2TB 860 EVO M.2 SATA 2280 MZ-N6E2T0BW,M.2 2280,M.2 SATA,MLC,2000,520,550,Nem,Nem,106790
SAMSUNG 500GB 980 M.2 PCIe M.2 2280 MZ-V8V500BW (Basic garancia),M.2 2280,M.2 PCIe,TLC,500,2600,3100,Nem,Nem,26590
SILICON POWER 256GB A55 M.2 SATA M.2 2280 SP256GBSS3A55M28,M.2 2280,M.2 SATA,TLC,256,530,560,Nem,Nem,12690
"SILICON POWER 512GB Ace A55 SATA 3 2.5"" SP512GBSS3A55S25","2.5""",SATA 3,TLC,512,450,500,Nem,Nem,20390
TRANSCEND 960GB JetDrive 850 for Mac M.2 PCIe M.2 2280 TS960GJDM850,M.2 2280,M.2 PCIe,TLC,960,1300,1600,Nem,Nem,90890
WD 2TB Blue SN550 NVMe M.2 PCIe M.2 2280 WDS200T2B0C,M.2 2280,M.2 PCIe,TLC,2000,1800,2600,Nem,Nem,95490
WD 500GB Red SA500 NAS M.2 SATA M.2 2280 WDS500G1R0B,M.2 2280,M.2 SATA,TLC,500,530,560,Nem,Nem,23691
ADATA 128GB SX6000 Lite M.2 PCIe M.2 2280 ASX6000LNP-128GT-C,M.2 2280,M.2 PCIe,TLC,128,600,1800,Nem,Nem,11290
"ADATA 1TB Ultimate SU800 SATA 3 2.5"" ASU800SS-1TT-C","2.5""",SATA 3,TLC,1000,520,550,Nem,Nem,45090
"APACER 1TB AS350 Panther SATA 3 2.5"" 95.DB2G0.P100C","2.5""",SATA 3,TLC,1000,298,310,Nem,Nem,38590
GIGABYTE 1TB AORUS RGB AIC NVMe PCI Express HHHL/PCI Express GP-ASACNE2100TTTDR,HHHL/PCI Express,PCI Express,TLC,1000,3080,3480,Igen,Nem,98990
GIGABYTE 512GB AORUS RGB AIC NVMe PCI Express HHHL/PCI Express GP-ASACNE2512GTTDR,HHHL/PCI Express,PCI Express,TLC,512,2100,3480,Igen,Nem,60090
INTEGRALMEMORY 128GB MO-300 2020 mSATA INSSD128GMSA,mSATA,mSATA,TLC,128,400,480,Nem,Nem,9489
KINGSTON 240GB UV500 M.2 SATA M.2 2280 SUV500M8/240G,M.2 2280,M.2 SATA,TLC,240,500,520,Nem,Nem,14990
KINGSTON 480GB UV500 M.2 SATA M.2 2280 SUV500M8/480G,M.2 2280,M.2 SATA,TLC,480,500,520,Nem,Nem,27890
KIOXIA 250GB Exceria M.2 PCIe M.2 2280 LRC10Z250GG8,M.2 2280,M.2 PCIe,TLC,250,1200,1700,Nem,Nem,19190
KIOXIA 500GB Exceria M.2 PCIe M.2 2280 LRC10Z500GG8,M.2 2280,M.2 PCIe,TLC,500,1600,1700,Nem,Nem,20991
PNY 500GB CS3030 M.2 PCIe M.2 2280 M280CS3030-500-RB,M.2 2280,M.2 PCIe,TLC,500,2000,3500,Nem,Nem,25591
"SANDISK 1TB Plus SATA 3 2.5"" SDSSDA-1T00-G26","2.5""",SATA 3,MLC,1000,450,535,Nem,Nem,38590
SEAGATE 480GB IronWolf 510 M.2 PCIe M.2 2280 ZP480NM30001,M.2 2280,M.2 PCIe,TLC,480,600,2650,Nem,Nem,45390
"TEAM GROUP 500GB DELTA TUF Gaming Alliance RGB SATA 3 2.5"" T253TT500G3C313","2.5""",SATA 3,TLC,500,510,560,Igen,Nem,30890
TOSHIBA 128GB BG4 M.2 PCIe M.2 2230 KBG40ZNS128G,M.2 2230,M.2 PCIe,TLC,128,800,2000,Nem,Nem,16890
TRANSCEND 1TB 110s M.2 PCIe M.2 2280 TS1TMTE110S,M.2 2280,M.2 PCIe,TLC,1000,1700,1500,Nem,Nem,43090
WD 2TB Blue M.2 SATA M.2 2280 WDS200T2B0B,M.2 2280,M.2 SATA,TLC,2000,530,560,Nem,Nem,76391
"WD 2TB Green SATA 3 2.5"" WDS200T2G0A","2.5""",SATA 3,TLC,2000,465,540,Nem,Nem,68790
ADATA 256GB SX6000 Pro M.2 PCIe M.2 2280 ASX6000PNP-256GT-C,M.2 2280,M.2 PCIe,TLC,256,1200,2100,Nem,Nem,17090
CORSAIR 500GB MP600 M.2 PCIe M.2 2280 CSSD-F500GBMP600,M.2 2280,M.2 PCIe,TLC,500,2500,4950,Nem,Igen,41590
CRUCIAL 1TB MX500 M.2 SATA M.2 2280 CT1000MX500SSD4,M.2 2280,M.2 SATA,TLC,1000,510,560,Nem,Nem,51890
"EMTEC 120GB X150 SATA 3 2.5"" ECSSD120GX150","2.5""",SATA 3,TLC,120,500,520,Nem,Nem,9690
GIGABYTE 256GB Internal M.2 PCIe M.2 2280 GP-GSM2NE8256GNTD,M.2 2280,M.2 PCIe,TLC,256,800,1200,Nem,Nem,16391
"GOODRAM 240GB CL100 Gen.3 SATA 3 2.5"" SSDPR-CL100-240-G3","2.5""",SATA 3,TLC,240,400,520,Nem,Nem,12590
KINGMAX 256GB PX3480 M.2 PCIe M.2 2280 KMPX3480-256G,M.2 2280,M.2 PCIe,TLC,256,1000,3000,Nem,Nem,15490
"KINGSTON 1.92TB A400 SATA 3 2.5"" SA400S37/1920G","2.5""",SATA 3,TLC,1920,450,500,Nem,Nem,71791
KINGSTON 500GB NV1 M.2 PCIe M.2 2280 SNVS/500G,M.2 2280,M.2 PCIe,TLC,500,1700,2100,Nem,Nem,20090
"KIOXIA 480GB Exceria SATA 3 2.5"" LTC10Z480GG8","2.5""",SATA 3,TLC,480,540,550,Nem,Nem,19089
"KIOXIA 960GB Exceria SATA 3 2.5"" LTC10Z960GG8","2.5""",SATA 3,TLC,960,540,550,Nem,Nem,35390
PATRIOT 128GB P300 M.2 PCIe M.2 2280 P300P128GM28,M.2 2280,M.2 PCIe,TLC,128,600,1600,Nem,Nem,9889
SAMSUNG 1TB 980 M.2 PCIe M.2 2280 MZ-V8V1T0BW (Basic garancia),M.2 2280,M.2 PCIe,TLC,1000,3000,3500,Nem,Nem,49889
"SANDISK 120GB Plus SATA 3 2.5"" SDSSDA-120G-G27","2.5""",SATA 3,TLC,120,310,530,Nem,Nem,11789
"SEAGATE 960GB IronWolf Pro 125 SATA 3 2.5"" ZA960NX10001","2.5""",SATA 3,TLC,960,520,545,Nem,Nem,79390
SILICON POWER 1TB A60 M.2 PCIe M.2 2280 SP001TBP34A60M28,M.2 2280,M.2 PCIe,TLC,1000,1600,2200,Nem,Nem,38090
"SILICON POWER 480GB S55 SATA 3 2.5"" SP480GBSS3S55S25","2.5""",SATA 3,TLC,480,480,540,Nem,Nem,19990
SILICON POWER 512GB A60 M.2 2280 SP512GBP34A60M28,M.2 2280,M.2 PCIe,TLC,512,1600,2200,Nem,Nem,22990
"TEAM GROUP 960GB GX1 SATA 3 2.5"" T253X1960G0C101","2.5""",SATA 3,TLC,960,480,530,Nem,Nem,33590
"TOSHIBA 240GB TR200 SATA 3 2.5"" TR200 25SAT3-240G","2.5""",SATA 3,TLC,240,540,555,Nem,Nem,13691
TRANSCEND 128GB 230S mSATA TS128GMSA230S,mSATA,mSATA,TLC,128,400,550,Nem,Nem,10991
"TRANSCEND 128GB Internal PATA/IDE 2.5"" TS128GPSD330","2.5""",PATA/IDE,MLC,128,67,119,Nem,Nem,54091
TRANSCEND 240GB MTS820 M.2 SATA M.2 2280 TS240GMTS820S,M.2 2280,M.2 SATA,MLC,240,510,560,Nem,Nem,12189
TRANSCEND 256GB 830S M.2 SATA M.2 2280 TS256GMTS830S,M.2 2280,M.2 SATA,TLC,256,500,560,Nem,Nem,14690
TRANSCEND 64GB 370S mSATA TS64GMSA370S,mSATA,mSATA,TLC,64,200,530,Nem,Nem,12189
"VERBATIM 512GB Vi550 S3 SATA 3 2.5"" 49352","2.5""",SATA 3,TLC,512,540,560,Nem,Nem,23990
WD 1TB Red SA500 NAS M.2 SATA M.2 2280 WDS100T1R0B,M.2 2280,M.2 SATA,TLC,1000,530,560,Nem,Nem,40590
"ADATA 1.92TB Ultimate SU650 SATA 3 2.5"" ASU630SS-1T92Q-R","2.5""",SATA 3,QLC,1920,450,520,Nem,Nem,72690
"ADATA 1TB Ultimate SU750 SATA 3 2.5"" ASU750SS-1TT-C","2.5""",SATA 3,TLC,1000,520,550,Nem,Nem,42390
ADATA 2TB Gammix S50 Lite M.2 PCIe M.2 2280 AGAMMIXS50L-2T-C,M.2 2280,M.2 PCIe,TLC,2000,3200,3900,Nem,Igen,102591
"ADATA 2TB Ultimate SU800 SATA 3 2.5"" ASU800SS-2TT-C","2.5""",SATA 3,TLC,2000,500,550,Nem,Nem,88790
ADATA 2TB XPG Gammix S11 Pro M.2 PCIe M.2 2280 AGAMMIXS11P-2TT-C,M.2 2280,M.2 PCIe,TLC,2000,3000,3500,Nem,Igen,96690
APACER 1TB AS2280P4 M.2 PCIe M.2 2280 AP1TBAS2280P4-1,M.2 2280,M.2 PCIe,TLC,1000,2000,3000,Nem,Nem,43190
APACER 240GB AST280 M.2 SATA M.2 2280 AP240GAST280-1,M.2 2280,M.2 SATA,TLC,240,495,520,Nem,Nem,14190
"APACER 256GB AS350 Panther SATA 3 2.5"" 95.DB2A0.P100C","2.5""",SATA 3,TLC,256,298,310,Nem,Nem,14190
CORSAIR 480GB MP510 M.2 PCIe M.2 2280 CSSD-F480GBMP510B,M.2 2280,M.2 PCIe,TLC,480,2000,3840,Nem,Nem,29990
"CRUCIAL 960GB BX500 SATA 3 2.5"" CT960BX500SSD1","2.5""",SATA 3,TLC,960,500,540,Nem,Nem,36190
GOODRAM 256GB IRDM M.2 PCIe M.2 2280 IR-SSDPR-P34B-256-80,M.2 2280,M.2 PCIe,TLC,256,1000,3000,Nem,Nem,15991
HP 120GB EX900 M.2 PCIe M.2 2280 2YY42AA,M.2 2280,M.2 PCIe,TLC,120,1300,2100,Nem,Nem,11890
HP 250GB EX900 M.2 PCIe M.2 2280 2YY43AA,M.2 2280,M.2 PCIe,TLC,250,1300,2100,Nem,Nem,16490
"HP 500GB S700 SATA 3 2.5"" 2DP99AA","2.5""",SATA 3,TLC,500,515,555,Nem,Nem,24489
"INTEGRALMEMORY 240GB P5 SATA 3 2.5"" INSSD240GS625P5","2.5""",SATA 3,TLC,240,540,560,Nem,Nem,13190
INTEGRALMEMORY 512GB MO-300 2020 mSATA INSSD512GMSA,mSATA,mSATA,TLC,512,450,520,Nem,Nem,25490
INTEL 1TB 760p Series M.2 PCIe M.2 2280 SSDPEKKW010T8X1,M.2 2280,M.2 PCIe,TLC,1000,1625,3230,Nem,Nem,66190
"INTENSO 960GB High SATA 3 2.5"" 3813460","2.5""",SATA 3,MLC,960,500,520,Nem,Nem,32290
"KINGSTON 256GB KC600 SATA 3 2.5"" SKC600B/256G","2.5""",SATA 3,TLC,256,500,550,Nem,Nem,22189
KINGSTON 2TB KC2500 M.2 PCIe M.2 2280 SKC2500M8/2000G,M.2 2280,M.2 PCIe,TLC,2000,2900,3500,Nem,Nem,98990
KINGSTON 480GB A400 M.2 SATA M.2 2280 SA400M8/480G,M.2 2280,M.2 SATA,TLC,480,450,500,Nem,Nem,21290
KIOXIA 1TB Exceria M.2 PCIe M.2 2280 LRC10Z001TG8,M.2 2280,M.2 PCIe,TLC,1000,1600,1700,Nem,Nem,37189
OWC 1TB Aura Pro X2 M.2 PCIe 2280 OWCS3DAPT4MB10,M.2 2280,M.2 PCIe,TLC,1000,2400,3200,Nem,Nem,88389
OWC 480GB Aura Pro X2 M.2 PCIe 2280 OWCS3DAPT4MB05,M.2 2280,M.2 PCIe,TLC,480,2400,3200,Nem,Nem,50289
"PATRIOT 128GB P210 SATA 3 2.5"" P210S128G25","2.5""",SATA 3,TLC,128,430,450,Nem,Nem,8790
"PHILIPS 120 Ultra Speed SATA 3 2.5"" PH511095","2.5""",SATA 3,TLC,120,480,550,Nem,Nem,10090
PNY 1TB CS3030 M.2 PCIe M.2 2280 M280CS3030-1TB-RB,M.2 2280,M.2 PCIe,TLC,1000,3000,3500,Nem,Nem,48590
PNY 250GB CS3030 M.2 PCIe M.2 2280 M280CS3030-250-RB,M.2 2280,M.2 PCIe,TLC,250,1050,3500,Nem,Nem,16990
"SEAGATE 500GB FireCuda 120 SATA 3 2.5"" ZA500GM1A001","2.5""",SATA 3,TLC,500,540,560,Nem,Nem,35390
"SEAGATE 960GB Maxtor Z1 SATA 3 2.5"" YA960VC1A001","2.5""",SATA 3,TLC,960,475,540,Nem,Nem,35790
"SILICON POWER 120GB Slim S55 SATA 3 2.5"" Upgrade Kit SP120GBSS3S55S27","2.5""",SATA 3,TLC,120,350,500,Nem,Nem,12490
"SILICON POWER 240GB Slim S56 SATA 3 2.5"" SP240GBSS3S56B25","2.5""",SATA 3,TLC,240,430,460,Nem,Nem,13691
TEAM GROUP 1TB Cardea IOPS M.2 PCIe M.2 2280 TM8FPI001T0C322,M.2 2280,M.2 PCIe,TLC,1000,3000,3400,Nem,Igen,53390
"TEAM GROUP 500GB Delta Max SATA 3 2.5"" T253TM500G3C302","2.5""",SATA 3,TLC,500,510,560,Igen,Nem,33890
"TEAM GROUP 512GB CX2 SATA 3 2.5"" T253X6512G0C101","2.5""",SATA 3,TLC,512,470,530,Nem,Nem,20490
"TEAM GROUP 512GB Vulcan G SATA 3 2.5"" T253TG512G3C301","2.5""",SATA 3,TLC,512,500,550,Igen,Nem,20190
"TRANSCEND 256GB SSD230 SATA 3 2.5"" TS256GSSD230S","2.5""",SATA 3,TLC,256,500,560,Nem,Nem,17290
