Megnevezés,Méret,Csatlakozás,Technológia,Tároló kapacitás (GB),SSD max írás (MB/s),SSD max olvasás (MB/s),Világítás,Hűtőborda,Ár (FT)
"TRANSCEND 2TB SSD220Q SATA 3 2.5"" TS2TSSD220Q","2.5""",SATA 3,QLC,2000,500,550,Nem,Nem,76690
TRANSCEND 480GB JetDrive 820 M.2 PCIe M.2 2280 TS480GJDM820,M.2 2280,M.2 PCIe,TLC,480,950,950,Nem,Nem,73690
"TRANSCEND 512GB SSD230 SATA 3 2.5"" TS512GSSD230S","2.5""",SATA 3,TLC,512,510,560,Nem,Nem,30790
UMAX 256GB Internal M.2 SATA M.2 2242 UMM250002,M.2 2242,M.2 SATA,TLC,256,450,500,Nem,Nem,16990
ADATA 120GB SU650 M.2 SATA M.2 2280 ASU650NS38-120GT-C,M.2 2280,M.2 SATA,TLC,120,510,550,Nem,Nem,10690
ADATA 1TB XPG GAMMIX S5 M.2 PCIe M.2 2280 AGAMMIXS5-1TT-C,M.2 2280,M.2 PCIe,TLC,1000,1500,2100,Nem,Igen,47390
ADATA 256GB SX6000 Lite M.2 PCIe M.2 2280 ASX6000LNP-256GT-C,M.2 2280,M.2 PCIe,TLC,256,900,1800,Nem,Nem,16290
ADATA 256GB Ultimate SU800 M.2 SATA M.2 2280 ASU800NS38-256GT-C,M.2 2280,M.2 SATA,TLC,256,520,560,Nem,Nem,16990
ADATA 2TB XPG GAMMIX S5 M.2 PCIe M.2 2280 AGAMMIXS5-2TT-C,M.2 2280,M.2 PCIe,TLC,2000,1500,2100,Nem,Igen,84891
ADATA 2TB XPG SPECTRIX S40G RGB M.2 PCIe M.2 2280 AS40G-2TT-C,M.2 2280,M.2 PCIe,TLC,2000,3000,3500,Igen,Nem,91890
"ADATA 480GB Ultimate SU650 SATA 3 2.5"" ASU650SS-480GT","2.5""",SATA 3,TLC,480,450,520,Nem,Nem,20290
ADATA 512GB Ultimate SU800 M.2 SATA M.2 2280 ASU800NS38-512GT-C,M.2 2280,M.2 SATA,TLC,512,520,560,Nem,Nem,25390
APACER 480GB AS2280P4 M.2 PCIe M.2 2280 AP480GAS2280P4-1,M.2 2280,M.2 PCIe,TLC,480,2100,1500,Nem,Nem,22290
"APACER 480GB AS340 PANTHER SATA 3 2.5"" AP480GAS340G-1","2.5""",SATA 3,TLC,480,450,550,Nem,Nem,19690
"APACER 480GB AS350 Panther SATA 3 2.5"" AP480GAS350-1","2.5""",SATA 3,TLC,480,350,450,Nem,Nem,22790
APACER 500GB AS2280Q4 M.2 PCIe M.2 2280 AP500GAS2280Q4-1,M.2 2280,M.2 PCIe,TLC,500,2500,5000,Nem,Igen,41590
EMTEC 256GB X250 M.2 SATA M.2 2280 ECSSD256GX250,M.2 2280,M.2 SATA,TLC,256,500,520,Nem,Nem,16090
"GOODRAM 120GB CL100 Gen.3 SATA 3 2.5"" SSDPR-CL100-120-G3","2.5""",SATA 3,TLC,120,360,500,Nem,Nem,8890
"HP 120GB S700 SATA 3 2.5"" 2DP97AA","2.5""",SATA 3,TLC,120,480,550,Nem,Nem,11391
INTEGRALMEMORY 256GB MO-300 2020 mSATA INSSD256GMSA,mSATA,mSATA,TLC,256,400,500,Nem,Nem,14489
INTEL 512GB 545s Series M.2 SATA M.2 2280 SSDSCKKW512G8X1,M.2 2280,M.2 SATA,TLC,512,500,550,Nem,Nem,24190
KINGMAX 1TB PQ3480 M.2 PCIe M.2 2280 KMPQ3480-1TB,M.2 2280,M.2 PCIe,TLC,1000,1800,1950,Nem,Nem,40090
"KINGMAX 480GB SMQ SATA 3 2.5"" KM480GSMQ32","2.5""",SATA 3,QLC,480,480,540,Nem,Nem,20390
"KINGMAX 480GB SMV32 SATA 3 2.5"" KM480GSMV32","2.5""",SATA 3,TLC,480,480,500,Nem,Nem,20290
KINGSTON 1TB KC600 mSATA SKC600MS/1024G,mSATA,mSATA,TLC,1000,520,550,Nem,Nem,48190
"KINGSTON 1TB KC600 SATA 3 2.5"" SKC600B/1024G","2.5""",SATA 3,TLC,1000,520,550,Nem,Nem,58790
KINGSTON 256GB KC600 mSATA SKC600MS/256G,mSATA,mSATA,TLC,256,500,550,Nem,Nem,15890
"KINGSTON 2TB KC600 SATA 3 2.5"" SKC600/2048G","2.5""",SATA 3,TLC,2000,520,550,Nem,Nem,102191
KINGSTON 2TB NV1 M.2 PCIe M.2 2280 SNVS/2000G,M.2 2280,M.2 PCIe,TLC,2000,1700,2100,Nem,Nem,74590
LCPOWER 512GB Phenom Pro M.2 PCIe M.2 2280 LC-M2-NVME-PRO-512GB,M.2 2280,M.2 PCIe,TLC,512,2000,3200,Nem,Nem,30190
"PATRIOT 1TB P210 SATA 3 2.5"" P210S1TB25","2.5""",SATA 3,TLC,1000,430,520,Nem,Nem,39290
PATRIOT 1TB VPN100 M.2 PCIe M.2 2280 VPN100-1TBM28H,M.2 2280,M.2 PCIe,TLC,1000,3000,3450,Nem,Igen,52790
"PATRIOT 2TB P200 SATA 3 2.5"" P200S2TB25","2.5""",SATA 3,TLC,2000,460,530,Nem,Nem,79990
PATRIOT 2TB VPN100 M.2 PCIe M.2 2280 VPN100-2TBM28H,M.2 2280,M.2 PCIe,TLC,2000,3100,3000,Nem,Igen,105390
"PATRIOT 480GB Burst Elite SATA 3 2.5"" PBE480GS25SSDR","2.5""",SATA 3,TLC,480,320,450,Nem,Nem,19190
"SANDISK 2TB Ultra 3D SATA 3 2.5"" SDSSDH3-2T00-G25","2.5""",SATA 3,TLC,2000,530,560,Nem,Nem,86791
"SEAGATE 250GB BarraCuda 120 SATA 3 2.5"" ZA250CM10003","2.5""",SATA 3,TLC,250,540,560,Nem,Nem,17690
SEAGATE 500GB Barracuda Q5 M.2 PCIe M.2 2280 ZP500CV30001,M.2 2280,M.2 PCIe,QLC,500,900,2300,Nem,Nem,23590
"SILICON POWER 120GB Slim S60 SATA 3 2.5"" SP120GBSS3S60S25","2.5""",SATA 3,MLC,120,460,520,Nem,Nem,9489
SILICON POWER 1TB A55 M.2 SATA M.2 2280 SP001TBSS3A55M28,M.2 2280,M.2 SATA,TLC,1000,530,560,Nem,Nem,39590
"SILICON POWER 2TB Ace A55 SATA 3 2.5"" SP002TBSS3A55S25","2.5""",SATA 3,TLC,2000,450,500,Nem,Nem,82989
SILICON POWER 2TB UD70 M.2 PCIe M.2 2280 SP02KGBP34UD7005,M.2 2280,M.2 PCIe,QLC,2000,3000,3400,Nem,Nem,83590
"SILICON POWER 60GB Slim S55 SATA 3 2.5"" SP060GBSS3S55S25","2.5""",SATA 3,MLC,60,510,540,Nem,Nem,8691
"SILICON POWER 960GB Slim S55 SATA 3 2.5"" SP960GBSS3S55S25","2.5""",SATA 3,TLC,960,450,500,Nem,Nem,37589
"TEAM GROUP 1TB EX2 SATA 3 2.5"" T253E2001T0C101","2.5""",SATA 3,TLC,1000,520,550,Nem,Nem,37090
TEAM GROUP 1TB MP33 M.2 PCIe M.2 2280 TM8FP6001T0C101,M.2 2280,M.2 PCIe,TLC,1000,1500,1800,Nem,Nem,41690
TEAM GROUP 1TB MP34 M.2 PCIe M.2 2280 TM8FP4001T0C101,M.2 2280,M.2 PCIe,TLC,1000,2600,3000,Nem,Nem,48790
"TEAM GROUP 1TB Vulcan G SATA 3 2.5"" T253TG001T3C301","2.5""",SATA 3,TLC,1000,500,550,Igen,Nem,36190
"TEAM GROUP 250GB Delta RGB White SSD SATA 3 2.5"" T253TR250G3C413","2.5""",SATA 3,TLC,250,500,560,Igen,Nem,22790
TEAM GROUP 256GB MP34 M.2 PCIe M.2 2280 TM8FP4256G0C101,M.2 2280,M.2 PCIe,TLC,256,850,2700,Nem,Nem,16990
"TEAM GROUP 500GB Delta RGB White SSD SATA 3 2.5"" T253TR500G3C413","2.5""",SATA 3,TLC,500,500,560,Igen,Nem,29990
TOSHIBA 1TB RD500 M.2 PCIe M.2 2280 THN-RD50Z0013G8(CS,M.2 2280,M.2 PCIe,TLC,1000,3200,3400,Nem,Nem,60689
"TRANSCEND 120GB SSD220 SATA 3 2.5"" TS120GSSD220S","2.5""",SATA 3,TLC,120,420,550,Nem,Nem,10890
WD 2TB Red SA500 NAS M.2 SATA M.2 2280 WDS200T1R0B,M.2 2280,M.2 SATA,TLC,2000,530,560,Nem,Nem,91390
WD 500GB Black SN750 With Heatsink M.2 PCIe M.2 2280 WDS500G3XHC,M.2 2280,M.2 PCIe,TLC,500,2600,3470,Nem,Igen,46190
"ADATA 1.92TB Ultimate SU650 SATA 3 2.5"" ASU650SS-1T92T-R","2.5""",SATA 3,TLC,1920,450,520,Nem,Nem,73190
"ADATA 1TB SU720 SATA 3 2.5"" ASU720SS-1T-C","2.5""",SATA 3,TLC,1000,450,520,Nem,Nem,43691
ADATA 1TB SX6000 Lite M.2 PCIe M.2 2280 ASX6000LNP-1TT-C,M.2 2280,M.2 PCIe,TLC,1000,1200,1800,Nem,Nem,39590
ADATA 1TB SX6000 Pro M.2 PCIe M.2 2280 ASX6000PNP-1TT-C,M.2 2280,M.2 PCIe,TLC,1000,1500,2100,Nem,Nem,46391
ADATA 1TB Ultimate SU800 M.2 SATA M.2 2280 ASU800NS38-1TT-C,M.2 2280,M.2 SATA,TLC,1000,520,560,Nem,Nem,47189
ADATA 1TB XPG SPECTRIX S20G M.2 PCIe M.2 2280 ASPECTRIXS20G-1T-C,M.2 2280,M.2 PCIe,TLC,1000,1800,2500,Igen,Nem,45490
ADATA 240GB SU650 M.2 SATA M.2 2280 ASU650NS38-240GT-C,M.2 2280,M.2 SATA,TLC,240,510,550,Nem,Nem,14390
"ADATA 250GB SU720 SATA 3 2.5"" ASU720SS-250G-C","2.5""",SATA 3,TLC,250,450,520,Nem,Nem,13890
"ADATA 256GB Ultimate SU650 SATA 3 2.5"" ASU650SS-256GT-R","2.5""",SATA 3,TLC,256,450,520,Nem,Nem,14290
"ADATA 2TB SU720 SATA 3 2.5"" ASU720SS-2T-C","2.5""",SATA 3,TLC,2000,450,520,Nem,Nem,80790
ADATA 2TB Swordfish M.2 PCIe M.2 2280 ASWORDFISH-2T-C,M.2 2280,M.2 PCIe,TLC,2000,1200,1800,Nem,Igen,80790
ADATA 2TB SX6000 Pro M.2 PCIe M.2 2280 ASX6000PNP-2TT-C,M.2 2280,M.2 PCIe,TLC,2000,1500,2100,Nem,Nem,84390
ADATA 480GB SU650 M.2 SATA M.2 2280 ASU650NS38-480GT-C,M.2 2280,M.2 SATA,TLC,480,510,550,Nem,Nem,21990
ADATA 500GB XPG SPECTRIX S20G M.2 PCIe M.2 2280 ASPECTRIXS20G-500G-C,M.2 2280,M.2 PCIe,TLC,500,1800,2500,Igen,Nem,25591
"ADATA 512GB Ultimate SU650 SATA 3 2.5"" ASU650SS-512GT-R","2.5""",SATA 3,TLC,512,450,520,Nem,Nem,22090
"ADATA 960GB Ultimate SU630 SATA 3 2.5"" ASU630SS-960GQ-R","2.5""",SATA 3,QLC,960,450,520,Nem,Nem,38291
"ADATA 960GB Ultimate SU650 SATA 3 2.5"" ASU650SS-960GT","2.5""",SATA 3,TLC,960,450,520,Nem,Nem,38390
"APACER 120GB AS340X SATA 3 2.5"" AP120GAS340XC-1","2.5""",SATA 3,TLC,120,500,550,Nem,Nem,10090
"APACER 128GB AS350X SATA 3 2.5"" AP128GAS350XR-1","2.5""",SATA 3,TLC,128,540,560,Nem,Nem,10490
"APACER 128GB AS510S ProII SATA 3 2.5"" AP128GAS510SB-1","2.5""",SATA 3,MLC,128,380,525,Nem,Nem,16190
APACER 128GB PP3480 M.2 PCIe M.2 2280 AP128GPP3480,M.2 2280,M.2 PCIe,TLC,128,600,2200,Nem,Nem,12390
APACER 128GB PPSS30 mSATA AP128GPPSS30,mSATA,mSATA,TLC,128,465,550,Nem,Nem,12189
"APACER 1TB AS350X SATA 3 2.5"" AP1TBAS350XR-1","2.5""",SATA 3,TLC,1000,540,560,Nem,Nem,41990
APACER 1TB PPSS80 NAS M.2 PCIe M.2 2280 AP1TPPSS80-R,M.2 2280,M.2 PCIe,TLC,1000,485,540,Nem,Nem,64889
"APACER 240GB AS340 PANTHER SATA 3 2.5"" AP240GAS340G-1 OEM","2.5""",SATA 3,TLC,240,410,505,Nem,Nem,12790
"APACER 240GB AS340X SATA 3 2.5"" AP240GAS340XC-1","2.5""",SATA 3,TLC,240,520,550,Nem,Nem,13890
"APACER 256GB AS350X SATA 3 2.5"" AP256GAS350XR-1","2.5""",SATA 3,TLC,256,540,560,Nem,Nem,14290
"APACER 256GB AS510S ProII SATA 3 2.5"" AP256GAS510SB-1","2.5""",SATA 3,MLC,256,410,560,Nem,Nem,23990
APACER 2TB PP3480 M.2 PCIe M.2 2280 AP2TPP3480,M.2 2280,M.2 PCIe,TLC,2000,2100,2500,Nem,Nem,100689
"APACER 2TB PPSS25 NAS SATA 3 2.5"" AP2TPPSS25-R","2.5""",SATA 3,TLC,2000,500,550,Nem,Nem,99790
APACER 480GB AS2280P2 M.2 PCIe M.2 2280 AP480GAS2280P2-1,M.2 2280,M.2 PCIe,TLC,480,950,1580,Nem,Nem,28291
"APACER 480GB AS340X SATA 3 2.5"" AP480GAS340XC-1","2.5""",SATA 3,TLC,480,520,550,Nem,Nem,23090
APACER 480GB AST280 M.2 SATA M.2 2280 AP480GAST280-1,M.2 2280,M.2 SATA,TLC,480,495,520,Nem,Nem,20690
"APACER 512GB AS350X SATA 3 2.5"" AP512GAS350XR-1","2.5""",SATA 3,TLC,512,540,560,Nem,Nem,23490
APACER 512GB PP3480 M.2 PCIe M.2 2280 AP512GPP3480,M.2 2280,M.2 PCIe,TLC,512,2100,2500,Nem,Nem,29390
"APACER 512GB PPSS25 NAS SATA 3 2.5"" AP512GPPSS25-R","2.5""",SATA 3,TLC,512,500,550,Nem,Nem,35991
APACER 512GB PPSS30 mSATA AP512GPPSS30,mSATA,mSATA,TLC,512,465,550,Nem,Nem,30290
APACER 512GB PPSS80 NAS M.2 PCIe M.2 2280 AP512GPPSS80-R,M.2 2280,M.2 PCIe,TLC,512,490,540,Nem,Nem,33990
"APACER 64GB AS510S ProII SATA 3 2.5"" AP64GAS510SB-1","2.5""",SATA 3,MLC,64,205,440,Nem,Nem,12390
"APACER 960GB AS340 PANTHER SATA 3 2.5"" AP960GAS340G-1","2.5""",SATA 3,TLC,960,450,550,Nem,Nem,36690
"APACER 960GB AS340X SATA 3 2.5"" AP960GAS340XC-1","2.5""",SATA 3,TLC,960,510,550,Nem,Nem,39790
"BIOSTAR 120GB S120 SATA 3 2.5"" SA902S2E31","2.5""",SATA 3,TLC,120,440,550,Nem,Nem,8691
BIOSTAR 1TB M700 M.2 PCIe M.2 2280 SS263PME3T,M.2 2280,M.2 PCIe,TLC,1000,1650,2000,Nem,Nem,43490
"BIOSTAR 1TB S120 SATA 3 2.5"" SA902S2E3T","2.5""",SATA 3,TLC,1000,525,550,Nem,Nem,39190
"BIOSTAR 240GB S100 SATA 3 2.5"" SM120S2E32","2.5""",SATA 3,TLC,240,410,530,Nem,Nem,12990
BIOSTAR 256GB M700 M.2 PCIe M.2 2280 SS263PME32,M.2 2280,M.2 PCIe,TLC,256,950,1850,Nem,Nem,16789
"BIOSTAR 512GB S120 SATA 3 2.5"" SA902S2E35","2.5""",SATA 3,TLC,512,525,550,Nem,Nem,24290
CORSAIR 1TB MP600 Core M.2 PCIe M.2 2280 CSSD-F1000GBMP600COR,M.2 2280,M.2 PCIe,QLC,1000,1950,4700,Nem,Igen,59889
CORSAIR 2TB MP400 M.2 PCIe M.2 2280 CSSD-F2000GBMP400,M.2 2280,M.2 PCIe,QLC,2000,3000,3480,Nem,Nem,99590
CRUCIAL 2TB P2 M.2 PCIe M.2 2280 CT2000P2SSD8,M.2 2280,M.2 PCIe,TLC,2000,1900,2400,Nem,Nem,81990
CRUCIAL 2TB P2 M.2 PCIe M.2 2280 CT2000P2SSD8T OEM,M.2 2280,M.2 PCIe,TLC,2000,1900,2400,Nem,Nem,93990
EMTEC 128GB X300 M.2 PCIe M.2 2280 ECSSD128GX300,M.2 2280,M.2 PCIe,TLC,128,500,1500,Nem,Nem,11490
EMTEC 1TB X250 M.2 SATA M.2 2280 ECSSD1TX250,M.2 2280,M.2 SATA,TLC,1000,500,520,Nem,Nem,48290
EMTEC 1TB X300 M.2 PCIe M.2 2280 ECSSD1TX300,M.2 2280,M.2 PCIe,TLC,1000,2000,2500,Nem,Nem,50991
"EMTEC 240GB X150 SATA 3 2.5"" ECSSD240GX150","2.5""",SATA 3,TLC,240,500,520,Nem,Nem,14489
"EMTEC 480GB X150 SATA 3 2.5"" ECSSD480GX150","2.5""",SATA 3,TLC,480,500,520,Nem,Nem,22090
EMTEC 512GB X250 M.2 SATA M.2 2280 ECSSD512GX250,M.2 2280,M.2 SATA,TLC,512,500,520,Nem,Nem,25890
EMTEC 512GB X300 M.2 PCIe M.2 2280 ECSSD512GX300,M.2 2280,M.2 PCIe,TLC,512,1500,1700,Nem,Nem,27790
"EMTEC 960GB X150 SATA 3 2.5"" ECSSD960GX150","2.5""",SATA 3,TLC,960,500,520,Nem,Nem,38090
GOODRAM 1TB IRDM M.2 PCIe M.2 2280 IR-SSDPR-P34B-01T-80,M.2 2280,M.2 PCIe,TLC,1000,2000,3200,Nem,Nem,46190
GOODRAM 1TB PX500 SATA 3 M.2 2280 SSDPR-PX500-01T-80,M.2 2280,SATA 3,TLC,1000,1650,2050,Nem,Nem,49889
"GOODRAM 240GB CX300 SATA 3 2.5"" SSDPR-CX300-240","2.5""",SATA 3,TLC,240,460,550,Nem,Nem,18390
GOODRAM 256GB PX500 SATA 3 M.2 2280 SSDPR-PX500-256-80,M.2 2280,SATA 3,TLC,256,950,1850,Nem,Nem,14889
GOODRAM 512GB PX500 SATA 3 M.2 2280 SSDPR-PX500-512-80,M.2 2280,SATA 3,TLC,512,1600,2000,Nem,Nem,27790
"GOODRAM 960GB CL100 Gen.3 SATA 3 2.5"" SSDPR-CL100-960-G3","2.5""",SATA 3,TLC,960,460,540,Nem,Nem,34489
HP 1TB EX900 M.2 PCIe M.2 2280 5XM46AA,M.2 2280,M.2 PCIe,TLC,1000,1500,2100,Nem,Nem,46490
HP 1TB EX950 M.2 PCIe M.2 2280 5MS23AA,M.2 2280,M.2 PCIe,TLC,1000,2900,3500,Nem,Nem,54889
"HP 1TB S700 SATA 3 2.5"" 6MC15AA","2.5""",SATA 3,TLC,1000,523,561,Nem,Nem,42690
HP 2TB EX950 M.2 PCIe M.2 2280 5MS24AA,M.2 2280,M.2 PCIe,TLC,2000,2900,3500,Nem,Nem,103990
HP 500GB EX900 M.2 PCIe M.2 2280 2YY44AA,M.2 2280,M.2 PCIe,TLC,500,1500,2100,Nem,Nem,24590
HP 512GB EX950 M.2 PCIe M.2 2280 5MS22AA,M.2 2280,M.2 PCIe,TLC,512,2250,3500,Nem,Nem,30991
"INTEGRALMEMORY 120GB C Series SATA 3 2.5"" INSSD120GS625C1","2.5""",SATA 3,TLC,120,400,515,Nem,Nem,8790
"INTEGRALMEMORY 120GB V Series (V2) SATA 3 2.5"" INSSD120GS625V2","2.5""",SATA 3,TLC,120,300,460,Nem,Nem,8890
INTEGRALMEMORY 240GB UltimaPro X v2 M.2 PCIe M.2 2280 INSSD240GM280NUPX2,M.2 2280,M.2 PCIe,TLC,240,1050,3300,Nem,Nem,17189
"INTEGRALMEMORY 240GB V Series SATA 3 2.5"" INSSD240GS625V2","2.5""",SATA 3,TLC,240,400,500,Nem,Nem,13291
INTEGRALMEMORY 512GB 22x80 M.2 SATA M.2 2280 INSSD512GM280,M.2 2280,M.2 SATA,TLC,512,450,520,Nem,Nem,24790
"INTEGRALMEMORY 960GB P5 SATA 3 2.5"" INSSD960GS625P5","2.5""",SATA 3,TLC,960,540,560,Nem,Nem,39390
INTENSO 120GB High Performance M.2 PCIe M.2 2280 3834430,M.2 2280,M.2 PCIe,TLC,120,800,1700,Nem,Nem,11990
INTENSO 120GB High Performance M.2 SATA M.2 2280 3833430,M.2 2280,M.2 SATA,TLC,120,500,520,Nem,Nem,8890
INTENSO 1TB Top M.2 SATA M.2 2280 3832460,M.2 2280,M.2 SATA,TLC,1000,420,520,Nem,Nem,35890
"INTENSO 1TB Top SATA 3 2.5"" 3812460","2.5""",SATA 3,TLC,1000,420,520,Nem,Nem,35890
INTENSO 240GB High Performance M.2 PCIe M.2 2280 3834440,M.2 2280,M.2 PCIe,TLC,240,800,1700,Nem,Nem,11890
INTENSO 240GB High Performance M.2 SATA M.2 2280 3833440,M.2 2280,M.2 SATA,TLC,240,500,520,Nem,Nem,12590
INTENSO 480GB High Performance M.2 PCIe M.2 2280 3834450,M.2 2280,M.2 PCIe,TLC,480,800,1700,Nem,Nem,22690
INTENSO 480GB High Performance M.2 SATA M.2 2280 3833450,M.2 2280,M.2 SATA,TLC,480,500,520,Nem,Nem,20790
"KINGMAX 960GB SMQ SATA 3 2.5"" KM960GSMQ32","2.5""",SATA 3,QLC,960,480,540,Nem,Nem,36391
"KINGMAX 960GB SMV32 SATA 3 2.5"" KM960GSMV32","2.5""",SATA 3,TLC,960,480,500,Nem,Nem,36391
"KINGSTON 1.92TB UV500 SATA 3 2.5"" SUV500/1920G","2.5""",SATA 3,TLC,1920,500,520,Nem,Nem,100090
"KINGSTON 2TB KC600 SATA 3 2.5"" SKC600B/2048G","2.5""",SATA 3,TLC,2000,520,550,Nem,Nem,103990
KINGSTON 512GB KC600 mSATA SKC600MS/512G,mSATA,mSATA,TLC,512,520,550,Nem,Nem,25991
"KINGSTON 960GB UV500 SATA 3 2.5"" SUV500/960G","2.5""",SATA 3,TLC,960,500,520,Nem,Nem,45690
KIOXIA 1TB Exceria Plus M.2 PCIe M.2 2280 LRD10Z001TG8,M.2 2280,M.2 PCIe,TLC,1000,3200,3400,Nem,Nem,64390
KIOXIA 500GB Exceria Plus M.2 PCIe M.2 2280 LRD10Z500GG8,M.2 2280,M.2 PCIe,TLC,500,2500,3400,Nem,Nem,32290
LCPOWER 1TB Phenom M.2 PCIe M.2 2280 LC-M2-NVME-1TB,M.2 2280,M.2 PCIe,TLC,1000,1500,1800,Nem,Nem,45390
LCPOWER 1TB Phenom Pro M.2 PCIe M.2 2280 LC-M2-NVME-PRO-1TB,M.2 2280,M.2 PCIe,TLC,1000,2500,3200,Nem,Nem,53490
"LCPOWER 240GB Phoenix SATA 3 2.5"" LC-SSD-240GB","2.5""",SATA 3,TLC,240,450,510,Nem,Nem,14390
LCPOWER 256GB Phenom M.2 PCIe M.2 2280 LC-M2-NVME-256GB,M.2 2280,M.2 PCIe,TLC,256,1000,1600,Nem,Nem,16789
"LCPOWER 480GB Phoenix SATA 3 2.5"" LC-SSD-480GB","2.5""",SATA 3,TLC,480,470,550,Nem,Nem,22990
LCPOWER 512GB Phenom M.2 PCIe M.2 2280 LC-M2-NVME-512GB,M.2 2280,M.2 PCIe,TLC,512,1400,1700,Nem,Nem,24889
"LCPOWER 960GB Phoenix SATA 3 2.5"" LC-SSD-960GB","2.5""",SATA 3,TLC,960,500,550,Nem,Nem,39091
"LEXAR 128GB NS100 SATA 3 2.5"" LNS100-128RB","2.5""",SATA 3,TLC,128,520,520,Nem,Nem,10790
LEXAR 1TB NM610 M.2 PCIe M.2 2280 LNM610-1TRB,M.2 2280,M.2 PCIe,TLC,1000,1600,2100,Nem,Nem,43691
LEXAR 1TB NM700 M.2 PCIe M.2 2280 LNM700-1TRB,M.2 2280,M.2 PCIe,TLC,1000,2000,3500,Nem,Nem,51490
LEXAR 250GB NM610 M.2 PCIe M.2 2280 LNM610-250RB,M.2 2280,M.2 PCIe,TLC,250,1200,2000,Nem,Nem,15690
