Megnevezés,Méret,Csatlakozás,Technológia,Tároló kapacitás,SSD max írás,SSD max olvasás,TBW,Világítás,Hűtőborda,Ár (FT),Méretek,PCI-e 4.0 SSD
"KINGSTON 240GB A400 SATA 3 2.5"" SA400S37/240G","2.5""",SATA 3,TLC,240 GB,350 MB/s,500 MB/s,80 TB,Nem,Nem,11890,,
KINGSTON 500GB A2000 M.2 PCIe M.2 2280 SA2000M8/500G,M.2 2280,M.2 PCIe,TLC,500 GB,2000 MB/s,2200 MB/s,300 TB,Nem,Nem,22189,80 x 22 x 3.5 mm,
"KINGSTON 480GB A400 SATA 3 2.5"" SA400S37/480G","2.5""",SATA 3,TLC,480 GB,450 MB/s,500 MB/s,160 TB,Nem,Nem,18090,,
KINGSTON 250GB A2000 M.2 PCIe M.2 2280 SA2000M8/250G,M.2 2280,M.2 PCIe,TLC,250 GB,1100 MB/s,2000 MB/s,150 TB,Nem,Nem,14489,80 x 22 x 3.5 mm,
KINGSTON 1TB A2000 M.2 PCIe M.2 2280 SA2000M8/1000G,M.2 2280,M.2 PCIe,TLC,1000 GB,2000 MB/s,2200 MB/s,600 TB,Nem,Nem,39590,80 x 22 x 3.5 mm,
SAMSUNG 500GB 970 EVO Plus M.2 PCIe M.2 2280 MZ-V7S500BW (Basic garancia),M.2 2280,M.2 PCIe,MLC,500 GB,3200 MB/s,3500 MB/s,300 TB,Nem,Nem,30390,80.15 x 22.15 x 2.38 mm,
SAMSUNG 1TB 970 PRO M.2 PCIe M.2 2280 MZ-V7P1T0BW (Basic garancia),M.2 2280,M.2 PCIe,MLC,1000 GB,2700 MB/s,3500 MB/s,1200 TB,Nem,Nem,114990,80.15 x 22.15 x 2.38 mm,
INTEL 256GB Optane H10 M.2 PCIe M.2 2280 HBRPEKNX0101A01,M.2 2280,M.2 PCIe,Optane,256 GB,650 MB/s,1450 MB/s,75 TB,Nem,Nem,18790,,
TRANSCEND 32GB MSA370 mSATA TS32GMSA370,mSATA,mSATA,MLC,32 GB,40 MB/s,260 MB/s,45 TB,Nem,Nem,15890,,
"SAMSUNG 500GB 870 EVO SATA 3 2.5"" MZ-77E500B/EU","2.5""",SATA 3,TLC,500 GB,530 MB/s,560 MB/s,300 TB,Nem,Nem,24190,100 x 69.85 x 7 mm,
"CRUCIAL 240GB BX500 SATA 3 2.5"" CT240BX500SSD1","2.5""",SATA 3,TLC,240 GB,500 MB/s,540 MB/s,0 TB,Nem,Nem,12990,,
"SAMSUNG 500GB 860 EVO SATA 3 2.5"" MZ-76E500B/EU (Basic garancia)","2.5""",SATA 3,MLC,500 GB,520 MB/s,550 MB/s,300 TB,Nem,Nem,28090,100 X 69.85 X 6.8 mm,
"KINGSTON 120GB A400 SATA 3 2.5"" SA400S37/120G","2.5""",SATA 3,TLC,120 GB,320 MB/s,500 MB/s,40 TB,Nem,Nem,9590,,
SAMSUNG 500GB 970 EVO Plus M.2 PCIe M.2 2280 MZ-V7S500BW,M.2 2280,M.2 PCIe,TLC,500 GB,3200 MB/s,3500 MB/s,300 TB,Nem,Nem,34190,80.15 x 22.15 x 2.38 mm,
SAMSUNG 250GB 970 EVO Plus M.2 PCIe M.2 2280 MZ-V7S250BW,M.2 2280,M.2 PCIe,TLC,250 GB,2300 MB/s,3500 MB/s,150 TB,Nem,Nem,23090,80.15 x 22.15 x 2.38 mm,
SAMSUNG 500GB 970 EVO M.2 PCIe M.2 2280 MZ-V7E500BW (Basic garancia),M.2 2280,M.2 PCIe,MLC,500 GB,2300 MB/s,3400 MB/s,300 TB,Nem,Nem,28691,80.15 x 22.15 x 2.38 mm,
"WD 500GB Blue SATA 3 2.5"" WDS500G2B0A","2.5""",SATA 3,TLC,500 GB,530 MB/s,560 MB/s,200 TB,Nem,Nem,19489,,
"SAMSUNG 1TB 860 EVO SATA 3 2.5"" MZ-76E1T0B/EU (Basic garancia)","2.5""",SATA 3,MLC,1000 GB,520 MB/s,550 MB/s,600 TB,Nem,Nem,38790,100 x 69.85 x 6.8 mm,
SAMSUNG 1TB 970 EVO Plus M.2 PCIe M.2 2280 MZ-V7S1T0BW (Basic garancia),M.2 2280,M.2 PCIe,TLC,1000 GB,3300 MB/s,3500 MB/s,600 TB,Nem,Nem,58490,80.15 x 22.15 x 2.38 mm,
"CRUCIAL 500GB MX500 SATA 3 2.5"" CT500MX500SSD1","2.5""",SATA 3,TLC,500 GB,510 MB/s,560 MB/s,180 TB,Nem,Nem,20591,,
"WD 250GB Blue SATA 3 2.5"" WDS250G2B0A","2.5""",SATA 3,TLC,250 GB,500 MB/s,540 MB/s,100 TB,Nem,Nem,14390,,
"CRUCIAL 480GB BX500 SATA 3 2.5"" CT480BX500SSD1","2.5""",SATA 3,TLC,480 GB,500 MB/s,540 MB/s,0 TB,Nem,Nem,18090,,
"WD 240GB Green SATA 3 2.5"" WDS240G2G0A","2.5""",SATA 3,TLC,240 GB,465 MB/s,540 MB/s,80 TB,Nem,Nem,13090,,
"GIGABYTE 120GB Internal SATA 3 2.5"" GP-GSTFS31120GNTD","2.5""",SATA 3,TLC,120 GB,380 MB/s,500 MB/s,75 TB,Nem,Nem,9190,,
"SAMSUNG 250GB 870 EVO SATA 3 2.5"" MZ-77E250B/EU","2.5""",SATA 3,TLC,250 GB,530 MB/s,560 MB/s,150 TB,Nem,Nem,17990,100 x 69.85 x 7 mm,
SAMSUNG 250GB 970 EVO Plus M.2 PCIe M.2 2280 MZ-V7S250BW (Basic garancia),M.2 2280,M.2 PCIe,TLC,250 GB,2300 MB/s,3500 MB/s,150 TB,Nem,Nem,21391,80.15 x 22.15 x 2.38 mm,
"KINGSTON 960GB A400 SATA 3 2.5"" SA400S37/960G","2.5""",SATA 3,TLC,960 GB,450 MB/s,500 MB/s,300 TB,Nem,Nem,34489,100 x 69.9 x 7 mm,
SAMSUNG 1TB 970 EVO Plus M.2 PCIe M.2 2280 MZ-V7S1T0BW,M.2 2280,M.2 PCIe,TLC,1000 GB,3300 MB/s,3500 MB/s,600 TB,Nem,Nem,62090,80.15 x 22.15 x 2.38 mm,
"CRUCIAL 1TB MX500 SATA 3 2.5"" CT1000MX500SSD1","2.5""",SATA 3,TLC,1000 GB,510 MB/s,560 MB/s,360 TB,Nem,Nem,35890,,
"CRUCIAL 120GB BX500 SATA 3 2.5"" CT120BX500SSD1","2.5""",SATA 3,TLC,120 GB,500 MB/s,540 MB/s,0 TB,Nem,Nem,9290,,
"KINGSTON 256GB KC600 SATA 3 2.5"" SKC600/256G","2.5""",SATA 3,TLC,256 GB,500 MB/s,550 MB/s,150 TB,Nem,Nem,16789,100.1 x 69.85 x 7 mm,
"WD 1TB Blue SATA 3 2.5"" WDS100T2B0A","2.5""",SATA 3,TLC,1000 GB,530 MB/s,560 MB/s,400 TB,Nem,Nem,36690,,
ADATA 512GB XPG SX8200 Pro M.2 PCIe M.2 2280 ASX8200PNP-512GT-C,M.2 2280,M.2 PCIe,TLC,512 GB,2300 MB/s,3500 MB/s,320 TB,Nem,Nem,27890,22 x 80 x 3.5 mm,
"SAMSUNG 1TB 870 QVO SATA 3 2.5"" MZ-77Q1T0BW","2.5""",SATA 3,QLC,1000 GB,520 MB/s,550 MB/s,360 TB,Nem,Nem,36690,100 x 69.85 x 6.8 mm,
ADATA 1TB XPG SX8200 Pro M.2 PCIe M.2 2280 ASX8200PNP-1TT-C,M.2 2280,M.2 PCIe,TLC,1000 GB,3000 MB/s,3500 MB/s,640 TB,Nem,Nem,49290,22 x 80 x 3.5 mm,
"APACER 120GB AS350 Panther SATA 3 2.5"" AP120GAS350-1","2.5""",SATA 3,TLC,120 GB,298 MB/s,310 MB/s,0 TB,Nem,Nem,8990,100 x 69.9 x 7 mm,
SAMSUNG 500GB 980 PRO M.2 PCIe M.2 2280 MZ-V8P500BW,M.2 2280,M.2 PCIe,TLC,500 GB,5000 MB/s,6900 MB/s,300 TB,Nem,Nem,48490,80.15 x 22.15 x 2.38 mm,Igen
"SAMSUNG 1TB 870 QVO SATA 3 2.5"" MZ-77Q1T0BW (Basic garancia)","2.5""",SATA 3,QLC,1000 GB,520 MB/s,550 MB/s,360 TB,Nem,Nem,35289,100 x 69.85 x 6.8 mm,
WD 500GB Blue M.2 SATA M.2 2280 WDS500G2B0B,M.2 2280,M.2 SATA,TLC,500 GB,530 MB/s,560 MB/s,200 TB,Nem,Nem,19690,,
INTEL 512GB 660P M.2 PCIe M.2 2280 SSDPEKNW512G8XT,M.2 2280,M.2 PCIe,QLC,512 GB,1000 MB/s,1500 MB/s,100 TB,Nem,Nem,20490,,
"CRUCIAL 250GB MX500 SATA 3 2.5"" CT250MX500SSD1","2.5""",SATA 3,TLC,250 GB,510 MB/s,560 MB/s,100 TB,Nem,Nem,16090,,
"INTENSO 240GB High SATA 3 2.5"" 3813440","2.5""",SATA 3,MLC,240 GB,500 MB/s,520 MB/s,0 TB,Nem,Nem,11090,,
GIGABYTE 256GB NVMe SSD M.2 PCIe M.2 2280 GP-GSM2NE3256GNTD,M.2 2280,M.2 PCIe,TLC,256 GB,1100 MB/s,1700 MB/s,300 TB,Nem,Nem,15090,80 x 22 x 2.3 mm,
CRUCIAL 500GB P1 M.2 PCIe M.2 2280 CT500P1SSD8,M.2 2280,M.2 PCIe,QLC,500 GB,950 MB/s,1900 MB/s,100 TB,Nem,Nem,22189,,
"SAMSUNG 250GB 870 EVO SATA 3 2.5"" MZ-77E250B/EU (Basic garancia)","2.5""",SATA 3,TLC,250 GB,530 MB/s,560 MB/s,150 TB,Nem,Nem,18790,100 x 69.85 x 7 mm,
"GIGABYTE 240GB Internal SATA 3 2.5"" GP-GSTFS31240GNTD","2.5""",SATA 3,TLC,240 GB,420 MB/s,500 MB/s,100 TB,Nem,Nem,12891,,
KINGSTON 240GB A400 M.2 SATA M.2 2280 SA400M8/240G,M.2 2280,M.2 SATA,TLC,240 GB,350 MB/s,500 MB/s,80 TB,Nem,Nem,12390,80 x 22 x 1.35 mm,
"KINGSTON 512GB KC600 SATA 3 2.5"" SKC600/512G","2.5""",SATA 3,TLC,512 GB,520 MB/s,550 MB/s,300 TB,Nem,Nem,26789,100.1 x 69.85 x 7 mm,
WD 240GB Green M.2 SATA M.2 2280 WDS240G2G0B,M.2 2280,M.2 SATA,TLC,240 GB,465 MB/s,540 MB/s,0 TB,Nem,Nem,12790,,
CRUCIAL 1TB P1 M.2 PCIe M.2 2280 CT1000P1SSD8,M.2 2280,M.2 PCIe,QLC,1000 GB,1700 MB/s,2000 MB/s,200 TB,Nem,Nem,36890,,
"SAMSUNG 1TB 870 EVO SATA 3 2.5"" MZ-77E1T0B/EU","2.5""",SATA 3,TLC,1000 GB,530 MB/s,560 MB/s,600 TB,Nem,Nem,45590,100 x 69.85 x 7 mm,
SAMSUNG 250GB 860 EVO M.2 SATA M.2 2280 MZ-N6E250BW,M.2 2280,M.2 SATA,MLC,250 GB,520 MB/s,550 MB/s,150 TB,Nem,Nem,17990,80.15 x 22.15 x 2.38 mm,
"PNY 120GB CS900 SATA 3 2.5"" SSD7CS900-120-PB","2.5""",SATA 3,TLC,120 GB,450 MB/s,560 MB/s,0 TB,Nem,Nem,10690,,
ADATA 1TB XPG Gammix S11 Pro M.2 PCIe M.2 2280 AGAMMIXS11P-1TT-C,M.2 2280,M.2 PCIe,TLC,1000 GB,3000 MB/s,3500 MB/s,640 TB,Nem,Igen,50890,,
SAMSUNG 1TB 980 PRO M.2 PCIe M.2 2280 MZ-V8P1T0BW,M.2 2280,M.2 PCIe,TLC,1000 GB,5000 MB/s,7000 MB/s,600 TB,Nem,Nem,81390,80.15 x 22.15 x 2.38 mm,Igen
"SAMSUNG 500GB 870 EVO SATA 3 2.5"" MZ-77E500B/EU (Basic garancia)","2.5""",SATA 3,TLC,500 GB,530 MB/s,560 MB/s,300 TB,Nem,Nem,22589,100 x 69.85 x 7 mm,
WD 1TB Blue M.2 SATA M.2 2280 WDS100T2B0B,M.2 2280,M.2 SATA,TLC,1000 GB,530 MB/s,560 MB/s,400 TB,Nem,Nem,35690,,
"SAMSUNG 2TB 860 EVO SATA 3 2.5"" MZ-76E2T0B/EU","2.5""",SATA 3,MLC,2000 GB,520 MB/s,550 MB/s,1200 TB,Nem,Nem,106790,100 X 69.85 X 6.8 mm,
"WD 1TB Green SATA 3 2.5"" WDS100T2G0A","2.5""",SATA 3,TLC,1000 GB,465 MB/s,540 MB/s,0 TB,Nem,Nem,33090,,
SAMSUNG 500GB 860 EVO M.2 SATA M.2 2280 MZ-N6E500BW,M.2 2280,M.2 SATA,MLC,500 GB,520 MB/s,550 MB/s,300 TB,Nem,Nem,23291,80.15 x 22.15 x 2.38 mm,
"WD 480GB Green SATA 3 2.5"" WDS480G2G0A","2.5""",SATA 3,TLC,480 GB,465 MB/s,540 MB/s,80 TB,Nem,Nem,19690,,
WD 500GB Black SN750 M.2 PCIe M.2 2280 WDS500G3X0C,M.2 2280,M.2 PCIe,TLC,500 GB,2600 MB/s,3470 MB/s,300 TB,Nem,Nem,26690,80 x 24.2 x 8.1 mm,Nem
"WD 120GB Green SATA 3 2.5"" WDS120G2G0A","2.5""",SATA 3,TLC,120 GB,430 MB/s,540 MB/s,40 TB,Nem,Nem,10490,,
INTEL 1TB 665P M.2 PCIe M.2 2280 SSDPEKNW010T9X1,M.2 2280,M.2 PCIe,QLC,1000 GB,1925 MB/s,2000 MB/s,300 TB,Nem,Nem,49190,,
"PATRIOT 240GB Burst SATA 3 2.5"" PBU240GS25SSDR","2.5""",SATA 3,TLC,240 GB,455 MB/s,560 MB/s,0 TB,Nem,Nem,14489,,
"CRUCIAL 1TB BX500 SATA 3 2.5"" CT1000BX500SSD1","2.5""",SATA 3,TLC,1000 GB,500 MB/s,540 MB/s,0 TB,Nem,Nem,32090,,
GIGABYTE 512GB NVMe SSD M.2 PCIe M.2 2280 GP-GSM2NE3512GNTD,M.2 2280,M.2 PCIe,TLC,512 GB,1550 MB/s,1700 MB/s,800 TB,Nem,Nem,23190,80 x 22 x 2.3 mm,
SAMSUNG 500GB 980 PRO M.2 PCIe M.2 2280 MZ-V8P500BW (Basic garancia),M.2 2280,M.2 PCIe,TLC,500 GB,5000 MB/s,6900 MB/s,300 TB,Nem,Nem,46690,80.15 x 22.15 x 2.38 mm,Igen
"ADATA 512GB Ultimate SU750 SATA 3 2.5"" ASU750SS-512GT-C","2.5""",SATA 3,TLC,512 GB,520 MB/s,550 MB/s,0 TB,Nem,Nem,22189,100.45 x 69.85 x 7 mm,
SAMSUNG 2TB 970 EVO Plus M.2 PCIe M.2 2280 MZ-V7S2T0BW,M.2 2280,M.2 PCIe,TLC,2000 GB,3300 MB/s,3500 MB/s,1200 TB,Nem,Nem,121690,80.15 x 22.15 x 2.38 mm,
INTEL 1TB 660P M.2 PCIe M.2 2280 SSDPEKNW010T801,M.2 2280,M.2 PCIe,QLC,1000 GB,1800 MB/s,1800 MB/s,200 TB,Nem,Nem,38190,,
"PNY 240GB CS900 SATA 3 2.5"" SSD7CS900-240-PB","2.5""",SATA 3,TLC,240 GB,460 MB/s,560 MB/s,0 TB,Nem,Nem,12590,,
WD 250GB Blue SN550 NVMe M.2 PCIe M.2 2280 WDS250G2B0C,M.2 2280,M.2 PCIe,TLC,250 GB,950 MB/s,2400 MB/s,150 TB,Nem,Nem,14390,80 x 22 x 2.38 mm,
SAMSUNG 500GB 860 EVO M.2 SATA M.2 2280 MZ-N6E500BW (Basic garancia),M.2 2280,M.2 SATA,MLC,500 GB,520 MB/s,550 MB/s,300 TB,Nem,Nem,24091,80.15 x 22.15 x 2.38 mm,
"APACER 128GB AS350 Panther SATA 3 2.5"" 95.DB260.P100C","2.5""",SATA 3,TLC,128 GB,490 MB/s,540 MB/s,0 TB,Nem,Nem,8990,100 x 69.9 x 7 mm,
GIGABYTE 1TB NVMe SSD M.2 PCIe M.2 2280 GP-GSM2NE3100TNTD,M.2 2280,M.2 PCIe,TLC,1000 GB,2100 MB/s,2500 MB/s,1600 TB,Nem,Nem,41890,80 x 22 x 2.3 mm,
"GIGABYTE 256GB Internal SATA 3 2.5"" GP-GSTFS31256GTND","2.5""",SATA 3,TLC,256 GB,500 MB/s,520 MB/s,100 TB,Nem,Nem,13490,,
WD 1TB Blue SN550 NVMe M.2 PCIe M.2 2280 WDS100T2B0C,M.2 2280,M.2 PCIe,TLC,1000 GB,1950 MB/s,2400 MB/s,600 TB,Nem,Nem,41791,80 x 22 x 2.38 mm,
CORSAIR 1TB MP600 M.2 PCIe M.2 2280 CSSD-F1000GBMP600,M.2 2280,M.2 PCIe,TLC,1000 GB,4250 MB/s,4950 MB/s,1800 TB,Nem,Igen,68290,80 x 23 x 15 mm,Igen
"HP 250GB S700 SATA 3 2.5"" 2DP98AA","2.5""",SATA 3,TLC,250 GB,515 MB/s,555 MB/s,295 TB,Nem,Nem,16590,,
SILICON POWER 256GB A60 M.2 2280 SP256GBP34A60M28,M.2 2280,M.2 PCIe,TLC,256 GB,1600 MB/s,2200 MB/s,150 TB,Nem,Nem,12690,22.0 x 80.0 x 3.5 mm,
"WD 1TB Red SA500 NAS SATA 3 2.5"" WDS100T1R0A","2.5""",SATA 3,TLC,1000 GB,530 MB/s,560 MB/s,600 TB,Nem,Nem,43990,100 x 69.85 x 7 mm,
"APACER 120GB AS340 PANTHER SATA 3 2.5"" AP120GAS340G-1","2.5""",SATA 3,TLC,120 GB,375 MB/s,450 MB/s,0 TB,Nem,Nem,8990,,
"SAMSUNG 2TB 870 QVO SATA 3 2.5"" MZ-77Q2T0BW (Basic garancia)","2.5""",SATA 3,QLC,2000 GB,520 MB/s,550 MB/s,720 TB,Nem,Nem,73790,100 x 69.85 x 6.8 mm,
SAMSUNG 2TB 970 EVO Plus M.2 PCIe M.2 2280 MZ-V7S2T0BW (Basic garancia),M.2 2280,M.2 PCIe,TLC,2000 GB,3300 MB/s,3500 MB/s,1200 TB,Nem,Nem,116990,80.15 x 22.15 x 2.38 mm,
ADATA 512GB XPG SPECTRIX S40G RGB M.2 PCIe M.2 2280 AS40G-512GT-C,M.2 2280,M.2 PCIe,TLC,512 GB,2400 MB/s,3500 MB/s,320 TB,Igen,Nem,28790,22 x 80 x 8 mm,
SILICON POWER 512GB P34A80 M.2 PCIe M.2 2280 SP512GBP34A80M28,M.2 2280,M.2 PCIe,TLC,512 GB,3000 MB/s,3200 MB/s,800 TB,Nem,Nem,26490,22 x 80 x 3.5 mm,
WD 1TB Black SN750 M.2 PCIe M.2 2280 WDS100T3X0C,M.2 2280,M.2 PCIe,TLC,1000 GB,3000 MB/s,3470 MB/s,600 TB,Nem,Nem,58490,80 x 24.2 x 8.1 mm,
"KIOXIA 240GB Exceria SATA 3 2.5"" LTC10Z240GG8","2.5""",SATA 3,TLC,240 GB,540 MB/s,550 MB/s,60 TB,Nem,Nem,12189,100.45 x 70.10 x 7.20 mm,
SAMSUNG 1TB 860 EVO M.2 SATA M.2 2280 MZ-N6E1T0BW,M.2 2280,M.2 SATA,MLC,1000 GB,520 MB/s,550 MB/s,600 TB,Nem,Nem,42490,80.15 x 22.15 x 2.38 mm,
"SAMSUNG 256GB 860 PRO SATA 3 2.5"" MZ-76P256B/EU (Basic garancia)","2.5""",SATA 3,MLC,256 GB,530 MB/s,560 MB/s,300 TB,Nem,Nem,27490,100 X 69.85 X 6.8 mm,
SAMSUNG 500GB 980 M.2 PCIe M.2 2280 MZ-V8V500BW,M.2 2280,M.2 PCIe,TLC,500 GB,2600 MB/s,3100 MB/s,300 TB,Nem,Nem,26789,80.15 x 22.15 x 2.38 mm,
WD 250GB Black SN750 M.2 PCIe M.2 2280 WDS250G3X0C,M.2 2280,M.2 PCIe,TLC,250 GB,1600 MB/s,3100 MB/s,200 TB,Nem,Nem,18590,80 x 24.2 x 8.1 mm,
WD 500GB Blue SN550 NVMe M.2 PCIe M.2 2280 WDS500G2B0C,M.2 2280,M.2 PCIe,TLC,500 GB,1750 MB/s,2400 MB/s,300 TB,Nem,Nem,21290,80 x 22 x 2.38 mm,
ADATA 2TB XPG SX8200 Pro M.2 PCIe M.2 2280 ASX8200PNP-2TT-C,M.2 2280,M.2 PCIe,TLC,2000 GB,3000 MB/s,3500 MB/s,1280 TB,Nem,Nem,91190,22 x 80 x 3.5 mm,
"ADATA 512GB Ultimate SU800 SATA 3 2.5"" ASU800SS-512GT-C","2.5""",SATA 3,TLC,512 GB,520 MB/s,560 MB/s,400 TB,Nem,Nem,23490,,
WD 120GB Green M.2 SATA M.2 2280 WDS120G2G0B,M.2 2280,M.2 SATA,TLC,120 GB,430 MB/s,545 MB/s,0 TB,Nem,Nem,9990,,
ADATA 256GB XPG SX8200 Pro M.2 PCIe M.2 2280 ASX8200PNP-256GT-C,M.2 2280,M.2 PCIe,TLC,256 GB,1200 MB/s,3500 MB/s,160 TB,Nem,Nem,19889,22 x 80 x 3.5 mm,
SAMSUNG 250GB 860 EVO M.2 SATA M.2 2280 MZ-N6E250BW (Basic garancia),M.2 2280,M.2 SATA,MLC,250 GB,520 MB/s,550 MB/s,150 TB,Nem,Nem,15790,80.15 x 22.15 x 2.38 mm,
SAMSUNG 250GB 980 PRO M.2 PCIe M.2 2280 MZ-V8P250BW,M.2 2280,M.2 PCIe,TLC,250 GB,2700 MB/s,6400 MB/s,150 TB,Nem,Nem,29489,80.15 x 22.15 x 2.38 mm,Igen
"SAMSUNG 256GB 860 PRO SATA 3 2.5"" MZ-76P256B/EU","2.5""",SATA 3,MLC,256 GB,530 MB/s,560 MB/s,300 TB,Nem,Nem,31590,100 X 69.85 X 6.8 mm,
"SAMSUNG 2TB 870 EVO SATA 3 2.5"" MZ-77E2T0B/EU","2.5""",SATA 3,TLC,2000 GB,530 MB/s,560 MB/s,1200 TB,Nem,Nem,86290,100 x 69.85 x 7 mm,
SILICON POWER 256GB P34A80 M.2 PCIe M.2 2280 SP256GBP34A80M28,M.2 2280,M.2 PCIe,TLC,256 GB,3000 MB/s,3200 MB/s,380 TB,Nem,Nem,17189,22 x 80 x 3.5 mm,
CRUCIAL 500GB MX500 M.2 SATA M.2 2280 CT500MX500SSD4,M.2 2280,M.2 SATA,TLC,500 GB,510 MB/s,560 MB/s,180 TB,Nem,Nem,23190,,
"INTENSO 256GB Top SATA 3 2.5"" 3812440","2.5""",SATA 3,MLC,256 GB,400 MB/s,520 MB/s,0 TB,Nem,Nem,11090,,
"SAMSUNG 512GB 860 PRO SATA 3 2.5"" MZ-76P512B/EU (Basic garancia)","2.5""",SATA 3,MLC,512 GB,530 MB/s,560 MB/s,600 TB,Nem,Nem,41590,100 X 69.85 X 6.8 mm,
SILICON POWER 1TB P34A80 M.2 PCIe M.2 2280 SP001TBP34A80M28,M.2 2280,M.2 PCIe,TLC,1000 GB,3000 MB/s,3200 MB/s,1665 TB,Nem,Nem,45590,22 x 80 x 3.5 mm,
TRANSCEND 240GB MTS420 M.2 SATA M.2 2242 TS240GMTS420S,M.2 2242,M.2 SATA,TLC,240 GB,500 MB/s,560 MB/s,0 TB,Nem,Nem,13090,,
GIGABYTE 512GB Aorus RGB M.2 PCIe M.2 2280 GP-ASM2NE2512GTTDR,M.2 2280,M.2 PCIe,TLC,512 GB,2000 MB/s,3840 MB/s,800 TB,Igen,Igen,37890,,
"KINGSTON 240GB UV500 mSATA 2.5"" SUV500MS/240G",mSATA,mSATA,TLC,240 GB,500 MB/s,520 MB/s,100 TB,Nem,Nem,15890,100.1 x 69.85 x 7 mm,
PATRIOT 256GB P300 M.2 PCIe M.2 2280 P300P256GM28,M.2 2280,M.2 PCIe,TLC,256 GB,1100 MB/s,1700 MB/s,80 TB,Nem,Nem,13590,80 x 22 x 4 mm,
TRANSCEND 1TB 220S M.2 PCIe M.2 2280 TS1TMTE220S,M.2 2280,M.2 PCIe,TLC,1000 GB,1900 MB/s,3400 MB/s,2200 TB,Nem,Nem,53990,80 x 22 x 3.58 mm,
"GIGABYTE 480GB Internal SATA 3 2.5"" GP-GSTFS31480GNTD","2.5""",SATA 3,TLC,480 GB,480 MB/s,550 MB/s,200 TB,Nem,Nem,19889,,
PATRIOT 256GB VPN100 M.2 PCIe M.2 2280 VPN100-256GM28H,M.2 2280,M.2 PCIe,TLC,256 GB,1000 MB/s,3000 MB/s,0 TB,Nem,Igen,17790,22 x 80 x 10.5 mm,
SAMSUNG 250GB 980 PRO M.2 PCIe M.2 2280 MZ-V8P250BW (Basic garancia),M.2 2280,M.2 PCIe,TLC,250 GB,2700 MB/s,6400 MB/s,150 TB,Nem,Nem,28890,80.15 x 22.15 x 2.38 mm,Igen
"WD 500GB Red SA500 NAS SATA 3 2.5"" WDS500G1R0A","2.5""",SATA 3,TLC,500 GB,530 MB/s,560 MB/s,350 TB,Nem,Nem,22490,100 x 69.85 x 7 mm,
CRUCIAL 500GB P5 M.2 PCIe M.2 2280 CT500P5SSD8,M.2 2280,M.2 PCIe,TLC,500 GB,3000 MB/s,3400 MB/s,300 TB,Nem,Nem,26490,,
"INTENSO 128GB Top SATA 3 2.5"" 3812430","2.5""",SATA 3,MLC,128 GB,300 MB/s,520 MB/s,0 TB,Nem,Nem,7990,,
SAMSUNG 512GB 970 PRO M.2 PCIe M.2 2280 MZ-V7P512BW (Basic garancia),M.2 2280,M.2 PCIe,MLC,512 GB,2300 MB/s,3500 MB/s,600 TB,Nem,Nem,53090,80.15 x 22.15 x 2.38 mm,
TRANSCEND 256GB 430S M.2 SATA M.2 2242 TS256GMTS430S,M.2 2242,M.2 SATA,TLC,256 GB,500 MB/s,560 MB/s,140 TB,Nem,Nem,14390,42 x 22 x 3.58 mm,
